                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3982,                 6.1086,                 2.8871,                      0,                      0,                      0,                      0,                 3.6824,                 7.7339,                 3.9043,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.7345,                 5.5384,                 3.0289,                      0,                      0,                      0,                      0,                 3.6824,                 7.7339,                 3.9043,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.6532,                 5.5897,                 2.8039,                      0,                      0,                      0,                      0,                 3.6739,                 7.1219,                 3.8702,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.5085,                 5.7462,                 2.7604,                      0,                      0,                      0,                      0,                 3.6739,                 7.1219,                 3.8702,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.8768,                 6.0831,                 3.3152,                      0,                      0,                      0,                      0,                 3.6311,                  8.115,                 3.9049,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.5204,                 6.0723,                 2.7945,                      0,                      0,                      0,                      0,                 3.6311,                  8.115,                 3.9049,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                  2.997,                   6.14,                 3.8674,                      0,                      0,                      0,                      0,                 3.6208,                 8.8844,                 3.9109,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.6173,                 5.8918,                 2.8607,                      0,                      0,                      0,                      0,                 3.6208,                 8.8844,                 3.9109,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.7144,                 6.1406,                  3.288,                      0,                      0,                      0,                      0,                 3.6247,                 8.5666,                 3.8837,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 3.3283,                 5.7134,                 3.4179,                      0,                      0,                      0,                      0,                 3.6247,                 8.5666,                 3.8837,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.7481,                 5.4242,                  2.941,                      0,                      0,                      0,                      0,                  3.616,                 8.1489,                 3.8639,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.7824,                 5.1763,                 3.2047,                      0,                      0,                      0,                      0,                  3.616,                 8.1489,                 3.8639,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.2404,                 5.3877,                  2.726,                      0,                      0,                      0,                      0,                 3.6111,                 7.6136,                 3.8346,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.8479,                 5.4346,                 3.3072,                      0,                      0,                      0,                      0,                 3.6111,                 7.6136,                 3.8346,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.4931,                 5.3419,                 2.8118,                      0,                      0,                      0,                      0,                 3.6184,                 7.1141,                 3.8068,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.8136,                  5.097,                 3.1612,                      0,                      0,                      0,                      0,                 3.6184,                 7.1141,                 3.8068,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                  2.658,                 5.9424,                 2.8388,                      0,                      0,                      0,                      0,                 3.6174,                 7.0043,                  3.774,             3.0048e-05,             3.0048e-05,             3.0048e-05
